scaffold	length
LAII01000864.1	30640
LAII01000865.1	30800
LAII01000866.1	30760
LAII01000867.1	30790
LAII01000868.1	30920
LAII01000869.1	31370
LAII01000870.1	31320
LAII01000088.1	3405000
LAII01000871.1	30730
LAII01000872.1	29750
LAII01000873.1	30280
LAII01000874.1	30030
LAII01000875.1	31790
LAII01000876.1	29650
LAII01000877.1	30240
LAII01000878.1	26440
LAII01000879.1	29070
LAII01000880.1	28880
LAII01000089.1	3351540
LAII01000881.1	30240
LAII01000882.1	28850
LAII01000883.1	30400
LAII01000884.1	29190
LAII01000885.1	25370
LAII01000886.1	28560
LAII01000887.1	28450
LAII01000888.1	29370
LAII01000889.1	28020
LAII01000890.1	28780
LAII01000090.1	3262750
LAII01000891.1	31630
LAII01000892.1	28100
LAII01000893.1	28130
LAII01000894.1	28080
LAII01000895.1	27390
LAII01000896.1	26480
LAII01000897.1	29620
LAII01000898.1	23770
LAII01000899.1	27590
LAII01000900.1	28430
LAII01000010.1	9679270
LAII01000091.1	3252010
LAII01000901.1	28040
LAII01000902.1	28540
LAII01000903.1	28430
LAII01000904.1	27270
LAII01000905.1	27190
LAII01000906.1	27070
LAII01000907.1	27220
LAII01000908.1	26840
LAII01000909.1	26610
LAII01000910.1	26210
LAII01000092.1	3246120
LAII01000911.1	26330
LAII01000912.1	24840
LAII01000913.1	26440
LAII01000914.1	27370
LAII01000915.1	26090
LAII01000916.1	25930
LAII01000917.1	26300
LAII01000918.1	22370
LAII01000919.1	25830
LAII01000920.1	24440
LAII01000093.1	3240150
LAII01000921.1	25840
LAII01000922.1	25390
LAII01000923.1	25220
LAII01000924.1	27120
LAII01000925.1	29360
LAII01000926.1	25140
LAII01000927.1	33310
LAII01000928.1	24900
LAII01000929.1	26780
LAII01000930.1	25860
LAII01000094.1	3231740
LAII01000931.1	24700
LAII01000932.1	26040
LAII01000933.1	24760
LAII01000934.1	23890
LAII01000935.1	24340
LAII01000936.1	23780
LAII01000937.1	23170
LAII01000938.1	24010
LAII01000939.1	24000
LAII01000940.1	24120
LAII01000095.1	3195880
LAII01000941.1	23830
LAII01000942.1	23990
LAII01000943.1	23700
LAII01000944.1	23720
LAII01000945.1	23450
LAII01000946.1	23330
LAII01000947.1	24440
LAII01000948.1	24730
LAII01000949.1	23320
LAII01000950.1	21900
LAII01000096.1	3158890
LAII01000951.1	23310
LAII01000952.1	23140
LAII01000953.1	23230
LAII01000954.1	21090
LAII01000955.1	22990
LAII01000956.1	19900
LAII01000957.1	23180
LAII01000958.1	24730
LAII01000959.1	28800
LAII01000960.1	22630
LAII01000097.1	3144170
LAII01000961.1	22610
LAII01000962.1	22380
LAII01000963.1	22270
LAII01000964.1	22160
LAII01000965.1	22150
LAII01000966.1	21630
LAII01000967.1	22560
LAII01000968.1	21840
LAII01000969.1	22370
LAII01000970.1	23420
LAII01000098.1	3122010
LAII01000971.1	21900
LAII01000972.1	22500
LAII01000973.1	23250
LAII01000974.1	22980
LAII01000975.1	20540
LAII01000976.1	21520
LAII01000977.1	21580
LAII01000978.1	22920
LAII01000979.1	17460
LAII01000980.1	22140
LAII01000099.1	3111160
LAII01000981.1	21630
LAII01000982.1	21450
LAII01000983.1	21360
LAII01000984.1	19550
LAII01000985.1	21110
LAII01000986.1	21310
LAII01000987.1	18970
LAII01000988.1	18380
LAII01000989.1	19290
LAII01000990.1	22140
LAII01000100.1	3088270
LAII01000991.1	20540
LAII01000992.1	20730
LAII01000993.1	20780
LAII01000994.1	18450
LAII01000995.1	20690
LAII01000996.1	21860
LAII01000997.1	20640
LAII01000998.1	20090
LAII01000999.1	20410
LAII01001000.1	20590
